indicator_code,indicator_name,last_published,days_since,rows,size_status
TAXBEV_VATSPECIAL_YN,Special VAT (or sales tax) rate on non-alcoholic beverages (different from the standard VAT rate),2025-12-16,279,149,ok
TAXBEV_OTHERTAXES,Other taxes on beverages (%),2025-12-16,279,838,ok
MALARIA_CONF_CASES,Number of confirmed malaria cases,2025-12-19,276,1047,ok
RHR_NPSV12M,Proportion of women and girls aged 15 years or older who have been subjected to sexual violence by someone other than a partner in the past 12 months (%) – related to SDG 5.2.2,2026-05-01,143,264,ok
HEPATITIS_HBV_TREATMENT_ANC_PERCENT,Eligible women attending antenatal care who were treated for HBV,2026-08-03,49,107,ok
HEPATITIS_DEATHS_NUM,Hepatitis - Deaths caused by chronic hepatitis B and C,2026-08-03,49,252,ok
MALARIA_NMCP_CALCULATIONS,Domestic Expenditure on Malaria,2025-12-19,276,917,ok
FAMILYPLANNINGUNPDUHC,Women who have their need for family planning satisfied with modern methods (%) - modelled estimates,2026-02-16,217,14187,ok
AMR_INFECT_ECOLI,Proportion of bloodstream infection due to Escherichia coli resistant to third-generation cephalosporins (%),2025-10-22,334,506,ok
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2026-08-05,47,17856,ok
TAXBEV_EXCISE_AUTOADJUST,Automatic adjustment of specific excise on beverage,2025-12-16,279,336,ok
FOODBORNE_DTH_100K,Foodborne deaths per 100 000,2026-06-03,110,3498,ok
LBW_NUMBER,Low birth weight number (in thousands),2026-06-09,104,4368,ok
HEPATITIS_HCV_DIAGNOSED_CRD_NUM,"Chronic hepatitis C (HCV) infected persons diagnosed, including cured (number)",2026-08-03,49,232,ok
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,2026-05-01,143,340,ok
FOODBORNE_YLD,Foodborne years lived with disability,2026-06-03,110,3498,ok
HEPATITIS_HBV_DIAGNOSED_NUM,Chronic hepatitis B (HBV) infected persons diagnosed (number),2026-08-03,49,242,ok
FOODBORNE_DALY_CASE,Foodborne disability-adjusted life years per case,2026-06-03,110,3498,ok
HEPATITIS_DEATHS_RATE,Hepatitis - Deaths caused by chronic hepatitis B and C (per 100 000 population),2026-08-03,49,251,ok
SA_0000001849,Remote ordering of alcohol regulated,2026-07-06,77,126,ok
HEPATITIS_HBV_TESTING_ANC_PERCENT,"Pregnant women attending antenatal care, tested for HBsAg (percent)",2026-08-03,49,205,ok
TAXBEV_MOSTSOLDSPIRIT,Most sold type of spirit,2025-12-17,278,266,ok
MALARIA_ACT_TREATED,Number of malaria cases treated with artemisinin-based combination therapies (ACTs),2025-12-19,276,505,ok
TAXBEV_ALCOHOLSALESTATUS,Status of alcohol sale,2025-12-17,278,780,ok
TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,"Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking",2026-01-27,237,780,ok
NUT_BF_EBF2D,Exclusively breastfed for the first two days after birth,2026-06-09,104,8145,ok
AMR_INFECT_MRSA,Proportion of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) (%),2025-10-22,334,499,ok
FOODBORNE_DTH,Foodborne deaths,2026-06-03,110,3498,ok
MALARIA_ITN_USE,Malaria ITN use: Population in malaria-endemic areas who slept under an insecticide-treated bed net (ITN) the previous night (%),2026-01-23,241,1000,ok
MALARIA_1STLINE_TREATED,Number of malaria cases treated with any first  line tx courses (including artemisinin-based combination therapies (ACTs)),2025-12-19,276,555,ok
TAXBEV_ADVALOREMBASE,Base for ad valorem excise tax on beverage,2025-12-16,279,510,ok
TAXBEV_AFFORD_LESS,Beverage has become less affordable since last survey year,2025-12-16,279,351,ok
TAXBEV_EXCISE_UNIFORMTIERED_ALCOHOLIC,Uniform or tiered excise tax system applied on alcoholic beverage,2025-12-17,278,335,ok
PHYSICALACTIVITY_ACTIVEENVIRONMENTS,Physical activity active environments,2026-09-01,20,2568,ok
NUTRITION_ANAEMIA_REPRODUCTIVEAGE_NUM,Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2026-08-05,47,17568,ok
M_Est_cig_curr_std,Estimate of current cigarette smoking prevalence (%) (age-standardized),2026-01-19,245,5511,ok
CM_04,Number of deaths among children ages 5 to 9 years,2026-08-05,47,26145,ok
TAXBEV_EXCISE_UNIFORMTIERED_NONALCOHOLIC,Uniform or tiered excise tax system applied on non-alcoholic beverage,2025-12-16,279,179,ok
TOBACCO_MPOWER_M4_PREVALENCE,"Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes, prevalence",2026-02-04,229,2340,ok
MALARIA_EST_MORTALITY,Estimated malaria mortality rate (per 100 000 population),2025-12-19,276,2834,ok
TAXBEV_SUGARCONTENT,Sugar-content of beverage (g/100ml),2025-12-16,279,350,ok
TOBACCO_MPOWER_M1_PREVALENCE,"Tobacco Monitor: population-based national surveys, tobacco use and smoking, prevalence",2026-01-30,234,3510,ok
CANCERSURVIVAL_CHILDREN_LEUKAEMIA,"Childhood cancer survival for lymphoid leukaemia, age-standardized 5-year net survival (%)",2026-07-29,54,615,ok
LBW_PREVALENCE,Low birth weight prevalence (%),2026-06-09,104,4368,ok
PHYSICALACTIVITY_ACTIVESYSTEMS,Physical activity policies focused on active systems,2026-09-01,20,4850,ok
TOBACCO_MPOWER_M1_TOBACCOUSESMOKING,"Tobacco Monitor: population-based national surveys, tobacco use and smoking",2026-01-27,237,780,ok
TRAD_MED_HWF_DENSITY,"Traditional, Complementary, and Integrative Medicine Healthworkforce Density (per 10,000 population)",2026-09-07,14,14,ok
CANCERSURVIVAL_BREASTCANCER,"Cancer survival for those diagnosed with breast cancer, 5-year net survival (%)",2026-06-25,88,205,ok
M_Est_cig_curr_users,"Number of current cigarette smokers, estimate",2026-01-15,249,5709,ok
HEPATITIS_HCV_DIAGNOSED_NUM,Chronic hepatitis C (HCV) infected persons diagnosed (number),2026-08-03,49,462,ok
NCDMORTPERCENT,Percentage of total deaths due to NCDs overall and percentage of total deaths due to 7 main categories (5 different NCD categories plus 2 non-NCD categories which together total al,2026-06-26,87,96876,ok
MALARIA_TOTAL_CASES,Total number of  malaria cases (presumed + confirmed cases),2025-12-19,276,1047,ok
TRAD_MED_CHE_PROVIDER,"Traditional, Complementary, and Integrative Medicine Current Health Expenditure by health care providers",2026-09-07,14,53,ok
HEALTH_PROMOTING_CITIES,"Proportion of cities, municipalities and localities in regional Healthy City networks that are health-promoting",2026-08-19,33,79,ok
HEPATITIS_HCV_TREATMENT_CUM_PERINFECTED_CRD_PER100,"Chronic hepatitis C (HCV) cumulative treatment rate as percentage of total infected, including cured  (%)",2026-08-03,49,233,ok
NUT_BF_EBF_NUMTH,Exclusive breastfeeding under six months (in thousands),2026-06-09,104,786,ok
HEPATITIS_HBV_DIAGNOSIS_PERINFECTED_PER100,Chronic hepatitis B (HBV) diagnosis coverage as a percentage of infected (%),2026-08-03,49,226,ok
VACCINECOVERAGE_DTP1,Diphtheria tetanus toxoid and pertussis first-dose (DTP1) immunization coverage among 1-year-olds (%) (WUENIC),2026-07-14,69,5337,ok
TOBACCO_MPOWER_R_PRICE,Tobacco Raise taxes: Retail price for tobacco and nicotine products,2025-12-09,286,15990,ok
MALARIA_RDT_POS,Number of malaria positive cases by rapid diagnostic test (RDT),2025-12-19,276,866,ok
CHILDVIOL,Indicator 16.2.1: Proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,2026-02-11,222,300,ok
GASP_ISOLATESTESTED_NUMBER,Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials testing  in Neisseria gonorrhoea isolates (WHO-GASP) (number),2026-01-05,259,2713,ok
NUT_CF_MAD,Minimum Acceptable Diet 6-23 months,2026-06-09,104,6328,ok
TOBACCO_MPOWER_R_TAX,Tobacco Raise taxes: National taxes for tobacco and nicotine products,2026-07-07,76,20865,ok
NCD_HYP_TREATMENT_C,"Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%)",2025-10-30,326,19170,ok
PHE_HHAIR_PROP_POP_CLEAN_FUELS,Proportion of population with primary reliance on clean fuels and technologies for cooking (%),2026-05-08,136,16800,ok
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),2026-08-04,48,78435,ok
CHILDDEATH5TO14,Number of deaths among children 5 to 14 years of age,2026-08-05,47,26145,ok
MALARIA_IPTP3_COVERAGE,Pregnant women attending antenatal care  at least once and receiving at least 3 doses of Intermittent Preventive Treatment of Malaria for Pregnant Women (IPTp3) (%),2025-12-19,276,330,ok
M_Est_tob_curr_users,"Number of current of tobacco users, estimate",2026-01-15,249,5709,ok
HIV_STATUSKNOWNART,Percentage of people living with HIV who know their status receiving antiretroviral therapy,2026-07-31,52,1454,ok
GLASSAMC_AWARE,Pattern of antibiotic consumption at national level (relative use by AWaRe classification),2025-09-24,362,1664,ok
NTD_BU_CONF,Number of confirmed cases of Buruli ulcer reported,2025-10-30,326,198,ok
HWF_0025,Medical doctors (%),2026-01-23,241,3406,ok
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,2025-09-24,362,416,ok
PHYSICALACTIVITY_ACTIVESOCIETIES,Physical activity policies for activie societies,2026-09-01,20,1358,ok
FOODBORNE_ILL,Foodborne illnesses,2026-06-03,110,3498,ok
NUT_CF_EFF,Egg and/or Flesh Food Consumption 6-23 months,2026-06-09,104,8525,ok
NTD_LEPR13,New leprosy child case detection rate (less than 15 years of age) per 1 000 000 child population,2026-09-14,7,2716,ok
HEPATITIS_HCV_TREATMENT_CUM_NUM,"Persons on chronic hepatitis C (HCV) treatment, cumulative (number)",2026-08-03,49,233,ok
TAXBEV_EXCISE_TYPE,Type of excise tax applied on beverage,2025-12-16,279,2238,ok
TAXBEV_SUGARBASEDTIERED,"If tiered on the beverage, the tiers are sugar-content-based",2025-12-16,279,179,ok
TRAD_MED_HWF_DIST,"Traditional, Complementary, and Integrative Medicine Healthworkforce Distribution",2026-09-07,14,12,ok
NCD_DIABETES_PREVALENCE_CRUDE,"Prevalence of diabetes, crude",2025-10-30,326,41580,ok
NCD_DIABETES_PREVALENCE_AGESTD,"Prevalence of diabetes, age-standardized",2025-10-30,326,41580,ok
NUT_BF_EBF,Exclusive breastfeeding under six months,2026-06-09,104,14405,ok
HEPATITIS_HBV_TESTPOSITIVE_ANC_PERCENT,"Pregnant women attending antenatal care, tested positive for HBsAg (percent)",2026-08-03,49,200,ok
M_Est_smk_curr_std,Estimate of current tobacco smoking prevalence (%) (age-standardized),2026-01-15,249,5511,ok
PHYSICALACTIVITY_REGION,Physical activity regional summary,2026-08-07,45,121,ok
M_Est_tob_curr_std,Estimate of current tobacco use prevalence (%) (age-standardized),2026-01-15,249,5742,ok
TRAD_MED_CHE_SCHEME,"Traditional, Complementary, and Integrative Medicine Current Health Expenditure by financing schemes",2026-09-07,14,36,ok
GHED_PHC_GGHE-D_PHC_SHA2011,Domestic general government expenditure on PHC as % of primary health care expenditure (PHCE) (%),2026-01-12,252,363,ok
MALARIA_IRS_COVERAGE,Number of people protected from malaria by indoor residual spraying (IRS),2025-12-19,276,579,ok
FOODBORNE_YLL_CASE,Foodborne years of life lost per case,2026-06-03,110,3498,ok
VACCINECOVERAGE_MENA_C,Meningococcal A conjugate (MENGA) vaccine immunization coverage (%) (WUENIC),2026-07-14,69,310,ok
FOODBORNE_DTH_CASE,Foodborne deaths per case,2026-06-03,110,3498,ok
UHCTRANSFATS,Best-practice policy implemented for industrially produced trans-fatty acids (TFA) (Y/N),2026-01-28,236,4246,ok
HEPATITIS_HBV_INFECTIONS_NEW_NUM,New chronic hepatitis B (HBV) infections (number),2026-08-03,49,227,ok
NTD_4,Number of new reported cases of human African trypanosomiasis (T.b. gambiense),2026-06-22,91,864,ok
NUT_BF_EIBF,"Early Initiation of Breastfeeding, Children born in the last 24 months",2026-06-09,104,11842,ok
NTD_5,Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense),2026-06-23,90,467,ok
NTD_7,"Population in areas that warrant treatment with antibiotics, facial cleanliness and environmental improvement for elimination of trachoma as a public health problem",2026-07-15,68,1001,ok
NTD_LEISHVEND,Status of endemicity of visceral leishmaniasis,2025-11-05,320,194,ok
NTD_LEPR11,Number of female leprosy new cases,2026-09-14,7,2716,ok
GASP_ISOLATESDSR_PROPORTION,Antimicrobial resistance or decreased susceptibiity (DS/R) to antimicrobials in Neisseria gonorrhoea isolates (WHO-GASP) (proportion),2026-01-05,259,2713,ok
NUT_CF_ZVF,"Zero vegetable or fruit consumption, 6-23 months",2026-06-09,104,2439,ok
MALARIA_EST_DEATHS,Estimated number of malaria deaths,2025-12-19,276,2898,ok
HEPATITIS_HCV_TREATMENT_PERDIAGNOSED_PER100,Chronic hepatitis C (HCV) treatment rate as percentage of diagnosed (%),2026-08-03,49,217,ok
HEPATITIS_HCV_INFECTIONS_NEW_NUM,New chronic hepatitis C (HCV) infections (number),2026-08-03,49,228,ok
HIV_VIRALLOADSUPPRESSED,Percentage of people living with HIV who have suppressed viral loads,2026-07-31,52,900,ok
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),2026-08-05,47,26145,ok
TAXBEV_TOTALTAXES,Total taxes on beverages (%),2025-12-16,279,838,ok
TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,"Tobacco Monitor: school-based national surveys, smokeless tobacco or e-cigarettes",2026-01-27,237,780,ok
TAXBEV_VATSALES,Value-added/sales tax on beverages (%),2025-12-16,279,838,ok
TAXBEV_PRICE,Beverage price,2025-12-16,279,2496,ok
SDGIHR2021,"International Health Regulations core capacity scores, SPAR version, 2nd edition",2026-07-20,63,51681,ok
FOODSAFETY_IHR_PERCENT,Food safety IHR (%),2025-10-22,334,784,ok
TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,"Tobacco Monitor: population-based national surveys, smokeless tobacco or e-cigarettes",2026-01-30,234,780,ok
FINANCIALHARDSHIP_PROPORTIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (%)",2026-03-16,189,18656,ok
TAXBEV_EXCISE,Excise taxes on beverages (%),2025-12-16,279,3352,ok
NUT_BF_CBF,Continued breastfeeding 12-23 months,2026-06-09,104,11826,ok
FOODBORNE_YLD_100K,Foodborne years lived with disability per 100 000,2026-06-03,110,3498,ok
HEPATITIS_HCV_LIVINGWITH_NUM,People living with chronic hepatitis C (HCV) (number),2026-08-03,49,250,ok
VACCINECOVERAGE_YFV,Yellow fever vaccine (YFV) immunization coverage among 1-year olds (%),2026-07-14,69,1303,ok
HEPATITIS_HBV_PREVALENCE_PER100,Prevalence of chronic hepatitis B (HBV) in the general population (%),2026-08-03,49,247,ok
HIV_VIRALLOADSUPPRESSEDART,Percentage of people living with HIV receiving treatment who have suppressed viral loads,2026-07-31,52,900,ok
NUT_CF_MDD,Minimum dietary diversity 6-23 months,2026-06-09,104,8686,ok
NCD_HYP_TREATMENT_A,"Hypertension treatment coverage among adults aged 30-79 with hypertension, age-standardized (%)",2025-10-30,326,19230,ok
TAXBEV_ALCOHOLBASEDTIERED,"If tiered on the beverage, the tiers are alcohol-based",2025-12-17,278,335,ok
FINANCIALHARDSHIP_MILLIONOFPOP,"Financial hardship in health and components (SDG 3.8.2, 2025 definition): population (millions)",2025-11-19,306,2415,ok
VACCINECOVERAGE_IPV1,Inactivated first-dose polio vaccine (IPV1) immunization coverage among 1-year-olds (%) (WUENIC),2026-07-14,69,2266,ok
SDGODAWS,Amount of water- and sanitation-related official development assistance that is part of a government-coordinated spending plan (constant 2024 US$ millions),2026-06-09,104,2190,ok
TAXBEV_VATSPECIAL_LOHI,Special VAT is lower or higher than standard VAT,2025-12-16,279,150,ok
TAXBEV_EXCISE_APPLIED_YN,Excise taxes are applied on beverages,2025-12-16,279,360,ok
HEPATITIS_HCV_TREATMENT_INITIATED_NUM,Persons initiated chronic hepatitis C(HCV) treatment (number),2026-08-03,49,237,ok
HEPATITIS_HCV_PREVALENCE_PER100,Prevalence of chronic hepatitis C (HCV) ) in the general population (%),2026-08-03,49,248,ok
MALARIA_MICR_POS,Number of malaria positive cases by microscopy,2025-12-19,276,988,ok
NTD_BU_SUSP,Number of suspected cases of Buruli ulcer reported,2025-10-30,326,759,ok
NCD_HYP_DIAGNOSIS_C,"Hypertension: diagnosis coverage among adults aged 30-79 with hypertension, crude (%)",2025-10-30,326,19170,ok
FOODBORNE_YLL_100K,Foodborne years of life lost per 100 000,2026-06-03,110,3498,ok
HWF_0026,Nursing personnel (%),2026-01-23,241,1906,ok
TOBACCO_MPOWER_M3_PREVALENCE,"Tobacco Monitor: school-based national surveys, tobacco use, tobacco smoking, and cigarette smoking, prevalence",2026-02-04,229,3510,ok
TAXBEV_IMPORTDUTIES,Import duties on beverages (%),2025-12-16,279,838,ok
MALARIA_PRES_CASES,Number of presumed malaria cases,2025-12-19,276,1078,ok
TAXBEV_MINSPECEXCISETAX,Minimum specific excise tax applied on the beverage,2025-12-17,278,455,ok
TOBACCO_MPOWER_M2_PREVALENCE,"Tobacco Monitor: population-based national surveys, smokeless tobacco or e-cigarettes, prevalence",2026-01-30,234,2340,ok
FOODBORNE_YLL,Foodborne years of life lost,2026-06-03,110,3498,ok
HEPATITIS_HBV_TREATMENT_PERINFECTED_PER100,Chronic hepatitis B (HBV) treatment rate as percentage of total infected (%),2026-08-03,49,227,ok
NCD_DIABETES_TREATMENT_AGESTD,"Diabetes treatment coverage, age-standardized",2025-10-30,326,20790,ok
NTD_LEPR14,Number of non-autochthonous leprosy cases,2026-09-14,7,1940,ok
HEPATITIS_HBV_TREATMENT_PERDIAGNOSED_PER100,Chronic hepatitis B (HBV) treatment rate as percentage of diagnosed (%),2026-08-03,49,233,ok
